Section,Subsection,LINK,SNO,FirstLine
পূজা,,RabindranathTagore_Songs_Puja#৬৯--তুমি-বন্ধু-তুমি-নাথ-নিশিদিন-তুমি-আমার,৬৯,তুমি বন্ধু তুমি নাথ নিশিদিন তুমি আমার
পূজা,,RabindranathTagore_Songs_Puja#৭০--ও-অকূলের-কূল-ও-অগতির-গতি,৭০,ও অকূলের কূল ও অগতির গতি
পূজা,,RabindranathTagore_Songs_Puja#৭১--আমার-মাঝে-তোমারি-মায়া-জাগালে-তুমি-কবি,৭১,আমার মাঝে তোমারি মায়া জাগালে তুমি কবি
পূজা,,RabindranathTagore_Songs_Puja#৭২--ভুলে-যাই-থেকে-থেকে,৭২,ভুলে যাই থেকে থেকে
পূজা,,RabindranathTagore_Songs_Puja#৭৩--তোমার-এই-মাধুরী-ছাপিয়ে-আকাশ-ঝরবে,৭৩,তোমার এই মাধুরী ছাপিয়ে আকাশ ঝরবে
পূজা,,RabindranathTagore_Songs_Puja#৭৪--এরে-ভিখারি-সাজায়ে-কী-রঙ্গ-তুমি-করিলে,৭৪,এরে ভিখারি সাজায়ে কী রঙ্গ তুমি করিলে
পূজা,,RabindranathTagore_Songs_Puja#৭৫--আপনাকে-এই-জানা-আমার-ফুরাবে-না,৭৫,আপনাকে এই জানা আমার ফুরাবে না
পূজা,,RabindranathTagore_Songs_Puja#৭৬--তুমি-যে-এসেছ-মোর-ভবনে-রব-উঠেছে-ভুবনে,৭৬,তুমি যে এসেছ মোর ভবনে রব উঠেছে ভুবনে॥
পূজা,,RabindranathTagore_Songs_Puja#৭৭--তুমি-যে-চেয়ে-আছ-আকাশ-ভরে,৭৭,তুমি যে চেয়ে আছ আকাশ ভ’রে
পূজা,,RabindranathTagore_Songs_Puja#৭৮--আমার-বাণী-আমার-প্রাণে-লাগে,৭৮,আমার বাণী আমার প্রাণে লাগে
পূজা,,RabindranathTagore_Songs_Puja#৭৯--অসীম-ধন-তো-আছে-তোমার-তাহে-সাধ-না-মেটে,৭৯,অসীম ধন তো আছে তোমার তাহে সাধ না মেটে
পূজা,,RabindranathTagore_Songs_Puja#৮০--যদি-আমায়-তুমি-বাঁচাও-তবে,৮০,যদি আমায় তুমি বাঁচাও তবে
পূজা,,RabindranathTagore_Songs_Puja#৮১--যিনি-সকল-কাজের-কাজী-মোরা-তাঁরি-কাজের-সঙ্গী,৮১,যিনি সকল কাজের কাজী মোরা তাঁরি কাজের সঙ্গী
পূজা,,RabindranathTagore_Songs_Puja#৮২--আমরা-তারেই-জানি-তারেই-জানি-সাথের-সাথি,৮২,আমরা তারেই জানি তারেই জানি সাথের সাথি
পূজা,,RabindranathTagore_Songs_Puja#৮৩--যা-হবার-তা-হবে,৮৩,যা হবার তা হবে
পূজা,,RabindranathTagore_Songs_Puja#৮৪--অন্ধকারের-মাঝে-আমায়-ধরেছ-দুই-হাতে,৮৪,অন্ধকারের মাঝে আমায় ধরেছ দুই হাতে
পূজা,,RabindranathTagore_Songs_Puja#৮৫--হে-মোর-দেবতা-ভরিয়া-এ-দেহ-প্রাণ,৮৫,হে মোর দেবতা ভরিয়া এ দেহ প্রাণ
